COD_INDICADOR;COD_UNIDAD;COD_AREA;COD_SEC_ECO;COD_NORMA;COD_HITO;NOMBRE_ACTIVIDAD;PRODUCTO ESPERADO;UNIDAD DE MEDIDA;CMI;CLASIFICADOR RELACIONADO;CODCLASIFICADOR;NOMCLASIFICADOR;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
60;1625;78;22;;;ENDE VALLE HERMOSO Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE ANDINA SAM (ENTRE RIOS) Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE ANDINA SAM (ENTRE RIOS) Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE TRANSMISION Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE TRANSMISION Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;RIO ELECTRICO Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;RIO ELECTRICO Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;TESA (POTOSI) Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;TESA (POTOSI) Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE COORPORACION Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE COORPORACION Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE TECNOLOGIAS Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE TECNOLOGIAS Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE CORANI Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE CORANI Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ELFEC Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ELFEC Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;UNIVERSIDADES PUBLICAS Y PRIVADAS Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;UNIVERSIDADES PUBLICAS Y PRIVADAS Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ASOCIACION BOLIVIANA DE ENERGIAS RENOVABLES Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ASOCIACION BOLIVIANA DE ENERGIAS RENOVABLES Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;CESSA (COMPA•÷A ELêCTRICA DE SUCRE S.A. Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;CESSA (COMPA•÷A ELêCTRICA DE SUCRE S.A. Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE ORURO Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE ORURO Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE LAPAZ Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE LAPAZ Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE COBIJA Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE COBIJA Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE SERVICIOS Y CONSTRUCCIONES Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ENDE SERVICIOS Y CONSTRUCCIONES Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;HIDROELECTRICA BOLIVIANA Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;HIDROELECTRICA BOLIVIANA Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;DE LA PAZ Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;DE LA PAZ Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ISA Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ISA Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;SIB Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;SIB Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;UNIVERSIDADES PUBLICAS Y PRIVADAS Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;UNIVERSIDADES PUBLICAS Y PRIVADAS Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;IBMETRO Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;IBMETRO Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ELFEO (EMPRESA DE LUZ Y FUERZA ELêCTRICA ORURO) Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ELFEO (EMPRESA DE LUZ Y FUERZA ELêCTRICA ORURO) Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;1625;78;22;;;ABB Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;1625;78;22;;;ABB Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;ENDE GUARACACHI Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;ENDE GUARACACHI Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;ENDE ANDINA SAM (TARIJA) Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;ENDE ANDINA SAM (TARIJA) Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;ENDE ANDINA SAM (warnes) Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;ENDE ANDINA SAM (warnes) Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;UNIVERSIDADES PUBLICAS Y PRIVADAS Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;UNIVERSIDADES PUBLICAS Y PRIVADAS Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;ENDE BENI Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;ENDE BENI Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;CRE Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;CRE Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;GUABIRA ENERGIA Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;GUABIRA ENERGIA Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;SIEMENS Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;SIEMENS Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;SCHNEIDER ELECTRIC Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;SCHNEIDER ELECTRIC Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;EATON (HILLER ELECTRIC) Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;EATON (HILLER ELECTRIC) Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;4;78;22;;;COLEGIO DE ING ELECTRICISTAS Y ELECTRONICOS DE BOLIVIA Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;4;78;22;;;COLEGIO DE ING ELECTRICISTAS Y ELECTRONICOS DE BOLIVIA Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
