PLAN DE CUENTAS;;PTTO ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;184.2;110.2;184.2;184.2;184.2;184.2;184.2;184.2;184.2;184.2;184.2;184.2
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;230;460;287.5;287.5;287.5;402.5;287.5;287.5;287.5;287.5;287.5;402.5
5-03-01-23;         INTERESES Y MULTAS;0;0;1238;0;0;0;0;928.5;0;0;0;0
5-03-01-24;         PATENTES MUNICIPALES;0;20;0;25;0;179.75;30;25;0;0;0;0
5-03-01-25;         CAPACITACION PERSONAL;500;500;500;500;500;500;500;1000;500;500;500;500
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;0;0;1000;0;0;0;0;0;2000;0;0;0
5-03-01-27;         SERVICIOS PUBLICITARIOS;100;100;100;100;100;100;100;100;100;100;100;100
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-31;         GASTOS VARIOS;300;350;300;350;300;400;350;300;350;350;301;301
5030190;GASTOS SA;3909.254755;4524.644755;11857.10475;6908.584755;9233.375144;18486.66961;8602.829609;7029.269609;9609.619609;6764.249609;3736.529609;3274.1
5030151;GASTOS DN;13784.61077;14353.98725;14198.22971;9180.15344;20156.92584;20548.22799;15749.8829;18308.55037;17193.14868;17238.01593;15787.59381;18447.25
5-03-01-50;         EQUIPOS DE COMPUTACI‡N ;580;0;1001;835.2;0;0;0;0;0;0;0;0
5-20-00-00;   OTROS INGRESOS Y/O EGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-00;      VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-01;         VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-00;      AJUSTE POR INFLAC. Y TENEC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-01;         AJUSTE POR INFLAC. Y TENENC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-00;      AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-01;         AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-00;      PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-01;         PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-00;      AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-01;         AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
