PLAN DE CUENTAS;;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
5-02-01-02;         APORTES PATRONALES;30094.34427;30094.34427;30094.34427;30094.34427;30094.34427;30094.34427;30094.34427;30094.34427;30094.34427;30094.34427;30094.34427;30094.34427
5-02-01-03;         AGUINALDOS;30004.29536;30004.29536;30004.29536;30004.29536;30004.29536;30004.29536;30004.29536;30004.29536;30004.29536;30004.29536;30004.29536;30004.29536
5-02-01-04;         INDEMNIZACION-VACACION;15002.14768;15002.14768;15002.14768;15002.14768;15002.14768;15002.14768;15002.14768;15002.14768;15002.14768;15002.14768;15002.14768;15002.14768
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400;3400
5-02-01-08;         REFRIGERIOS DEL PERSONAL;12444.4836;12335.8611;12408.2761;12372.0686;12444.4836;12372.0686;12248.9631;12285.1706;12176.5481;12285.1706;12248.9631;12212.7556
5-02-02-00;      GASTOS PERSONAL EXTERNO;51154.6;62319.4;98927.8;74823.4;72645.4;63363.4;82868.2;69449.8;71404.6;80348.8;77357.8;62557
5-02-02-01;         HONORARIOS PROFESIONALES;10405;10405;11455;10405;11455;10405;10405;10405;11455;17380;10405;10405
5-02-02-02;         HONORARIOS DOCENTES;15624;35280;55944;55440;48384;35280;35784;52920;38304;45360;45864;40320
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;25125.6;16634.4;31528.8;8978.4;12806.4;17678.4;36679.2;6124.8;21645.6;17608.8;21088.8;11832
5-03-00-00;   GASTOS DE OPERACION;101300.7739;126136.5103;223873.8783;136168.2328;141094.9042;212540.7509;276646.2582;171608.6202;174893.876;165349.2187;208687.5524;204770.9515
5-03-01-00;      GASTOS DE OPERACION;101300.7739;126136.5103;223873.8783;136168.2328;141094.9042;212540.7509;276646.2582;171608.6202;174893.876;165349.2187;208687.5524;204770.9515
5-03-01-01;         MATERIAL DE ESCRITORIO;8633.1355;3707.237;4389.5785;5917.4435;3189.197;4213.434;5605.952;4299.2615;3690.6905;5490.1695;3715.2745;4208.306
5-03-01-02;         SERVICIOS EXTERNOS  ;4000;4000;4000;8000;8000;13700;13700;46400;13700;13700;13700;13700
5-03-01-04;         SERVICIO DE COURIER;720;720;888;720;720;720;888;720;760;928;760;776
5-03-01-05;         SERVICIOS Y COMUNICACIONES;9010.63;9010.63;9010.63;9010.63;9010.63;9010.63;9010.63;9010.63;9010.63;9010.63;9010.63;9010.63
5-03-01-06;         SERVICIO DE SEGURIDAD;4832.07;4832.07;4832.07;4832.07;4832.07;4832.07;4832.07;4832.07;4832.07;4832.07;4832.07;4832.07
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;7017.5;11417.5;18270;17090;14495;11365;10980;16835;11655;13530;13180;12180
5-03-01-08;         REPARACION Y MANTENIMIENTO;500;570;2250;570;500;2320;500;570;2250;570;500;570
5-03-01-09;         ALQUILER OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-10;         ALQUILER OTROS;0;0;0;1000;0;1000;0;1000;0;0;0;0
5-03-01-11;         SEGUROS;600;1600;0;600;0;0;600;0;0;0;0;2400
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;8005.140414;11026.51034;17575.68379;17638.82828;18477.43621;19116.21793;27119.74172;17825.40966;20078.69931;18947.39924;21588.40793;19739.09334
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;72000;0;0;72000;0;0;72000;0;0;72000
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;2963.8;4994;5006.6;4954;4959.6;4961;4979.6;4974;4979.6;7110.04;4979.6;4974.79
5-03-01-16;         PASAJES Y VIATICOS;11849.038;5912.473;16543.546;11897.491;17258.201;24818.629;18191.4545;14319.479;15542.786;14396.14;19361.8;16099.61
5-03-01-17;         GASTOS BANCARIOS;20;20;620;20;20;20;20;20;620;20;20;20
5-03-01-18;         GASTOS DE IMPRENTA;2930;8256;3030;1830;3930;1930;2830;1930;1830;2030;1830;1830
5-03-01-19;         GASTOS MOVILIDAD;5910.5;5910.5;5910.5;5910.5;5910.5;5910.5;5756.5;5756.5;5756.5;5756.5;4796.5;5756.5
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;5123.4;5123.4;5123.4;5123.4;5123.4;5123.4;5123.4;5123.4;5123.4;5123.4;5123.4;5123.4
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;350;0;350;0;350;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;3074.87;3074.87;3074.87;3074.87;3074.87;3074.87;3074.87;3074.87;3074.87;3074.87;3074.87;3074.87
5-03-01-23;         INTERESES Y MULTAS;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500;4500
5-03-01-24;         PATENTES MUNICIPALES;280;2271.5;280;280;280;280;280;280;280;280;280;280
5-03-01-25;         CAPACITACION PERSONAL;2050;6000;8680;580;7660;9250;11960;18023;2420;500;1050;0
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;500;500;5000;1000;1000;3000;3000;1000;3000;21000;1000;1000
5-03-01-27;         SERVICIOS PUBLICITARIOS;3575;3695;6675;6395;6395;6675;6395;6395;6675;6395;6395;6395
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;180;180;180;180;180;180;180;180;180;180;180;180
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;0;0;1575;0;0;0;0;1575;0;0
5-03-01-31;         GASTOS VARIOS;3445;7375;9860;15780;8590;4540;4610;4540;3810;26400;3810;7940
5-03-01-50;         EQUIPOS DE COMPUTACI‡N ;11580.69;21439.82;15824;9264;11064;0;9860;0;0;0;0;0
5-03-01-90;         GASTOS SA-DN ;166944.9231;181682.4136;176209.7868;161056.0015;164798.04;220792.76;279056.068;157756.9595;242461.6131;210787.4485;239679.686;268544.4622
5-20-00-00;   OTROS INGRESOS Y/O EGRESOS NO OPERATIVOS;0;0;50000;0;0;50000;0;0;30000;0;0;30000
5-20-01-00;      VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-01;         VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-00;      AJUSTE POR INFLAC. Y TENEC. DE BIENES;0;0;50000;0;0;50000;0;0;30000;0;0;30000
5-20-05-01;         AJUSTE POR INFLAC. Y TENENC. DE BIENES;0;0;50000;0;0;50000;0;0;30000;0;0;30000
5-20-07-00;      AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-01;         AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-00;      PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-01;         PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-00;      AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-01;         AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
