PLAN DE CUENTAS;;PTTO ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;0;0;0;690;690;690;690;690;690;690;690;690
5-03-01-23;         INTERESES Y MULTAS;0;0;0;0;0;1526.25;0;0;0;0;0;0
5-03-01-24;         PATENTES MUNICIPALES;200;200;200;200;200;200;200;200;1;200;200;200
5-03-01-25;         CAPACITACION PERSONAL;0;2200;2500;2500;2200;2500;2500;2200;2500;2500;2200;0
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-27;         SERVICIOS PUBLICITARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-31;         GASTOS VARIOS;0;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;0
5-03-01-50;         GASTOS SA - DN ;22861.34598;24090.18118;52486.94278;23278.33478;26384.94302;53950.06546;53262.99986;24105.07986;54253.04466;33756.26066;23861.82226;33644.09106
;         GASTOS SA - DN ;31043.65569;31288.47889;30714.49289;33984.00967;47863.56124;33545.94247;31953.0074;33552.36719;35139.92793;45735.40895;32390.02702;43647.23
;         EQUIPOS DE COMPUTACI‡N ;0;0;1835.2;1243.6;1835.2;243.6;1835.2;243.6;0;0;0;0
5-20-00-00;   OTROS INGRESOS Y/O EGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-00;      VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-01;         VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-00;      AJUSTE POR INFLAC. Y TENEC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-01;         AJUSTE POR INFLAC. Y TENENC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-00;      AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-01;         AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-00;      PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-01;         PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-00;      AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-01;         AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
