;;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;65578.56804;80028.65561;89851.67846;88592.24477;88482.28785;98684.46568;86299.30477;105505.7085;88091.72677;108894.4587;77139.724;74229.66624
5-01-00-00;   COSTO DE INVENTARIOS;0;0;720;360;360;0;720;720;360;360;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;720;360;360;0;720;720;360;360;0;0
5-01-01-01;         COSTO DE INVENTARIOS O.I.;0;0;720;360;360;0;720;720;360;360;0;0
5-02-01-00;      GASTOS EN PERSONAL;50308.60016;59380.60016;57868.60016;60388.60016;65333.35321;61931.65045;64451.65045;69503.65045;61931.65045;69330.85045;60686.05045;51851.65045
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;41848.60016;41848.60016;41848.60016;41848.60016;51833.35321;45911.65045;45911.65045;45911.65045;45911.65045;45911.65045;45911.65045;45911.65045
5-02-01-01;         SUELDOS AL PERSONAL;28360.93194;28360.93194;28360.93194;28360.93194;35368.62753;31228.26837;31228.26837;31228.26837;31228.26837;31228.26837;31228.26837;31228.26837
5-02-01-02;         APORTES PATRONALES;4739.111727;4739.111727;4739.111727;4739.111727;5910.097661;5218.243645;5218.243645;5218.243645;5218.243645;5218.243645;5218.243645;5218.243645
5-02-01-03;         AGUINALDOS;4725.519261;4725.519261;4725.519261;4725.519261;5893.228147;5203.252071;5203.252071;5203.252071;5203.252071;5203.252071;5203.252071;5203.252071
5-02-01-04;         INDEMNIZACION-VACACION;2362.465631;2362.465631;2362.465631;2362.465631;2946.206673;2601.314756;2601.314756;2601.314756;2601.314756;2601.314756;2601.314756;2601.314756
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-08;         REFRIGERIOS DEL PERSONAL;1660.5716;1660.5716;1660.5716;1660.5716;1715.1932;1660.5716;1660.5716;1660.5716;1660.5716;1660.5716;1660.5716;1660.5716
5-02-02-00;      GASTOS PERSONAL EXTERNO;8460;17532;16020;18540;13500;16020;18540;23592;16020;23419.2;14774.4;5940
5-02-02-01;         HONORARIOS PROFESIONALES;900;900;900;900;900;900;900;900;900;900;900;900
5-02-02-02;         HONORARIOS DOCENTES;7560;16632;15120;17640;12600;15120;17640;12600;15120;11592;9072;5040
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;10092;0;10927.2;4802.4;0
5-03-00-00;   GASTOS DE OPERACION;15269.96788;20648.05545;31263.0783;27843.64461;22788.93463;36752.81524;21127.65432;35282.05805;25800.07633;39203.60828;16453.67355;22378.0158
5-03-01-00;      GASTOS DE OPERACION;15269.96788;20648.05545;31263.0783;27843.64461;22788.93463;36752.81524;21127.65432;35282.05805;25800.07633;39203.60828;16453.67355;22378.0158
5-03-01-01;         MATERIAL DE ESCRITORIO;1048.137708;2305.375236;3126.275532;919.681148;1506.805396;2357.015772;3902.900396;1409.5369;139.32978;1815.456516;183.570928;166.476816
5-03-01-02;         SERVICIOS EXTERNOS  ;550;0;0;0;0;0;550;1100;550;0;0;550
5-03-01-04;         SERVICIO DE COURIER;203.209256;230.986848;258.151732;321.57948;467.788832;292.737636;298.83832;321.399028;324.442288;240;325.271632;280.176
5-03-01-05;         SERVICIOS Y COMUNICACIONES;1306.408424;1262.691692;1300.361972;1280.600816;1356.313436;1331.072504;1319.59334;1348.16246;1331.244224;1365.201536;1328.414024;1358.189
5-03-01-06;         SERVICIO DE SEGURIDAD;79.67808;79.67808;79.67808;79.67808;79.67808;79.6908;79.67808;79.67808;88.5312;88.5312;88.5312;96.68472
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;1337.841216;2088.624468;2105.355684;1819.96404;2220;1837.77204;2446.166568;2057.3091;2412.426768;2348.842668;1146.317748;1014.48
5-03-01-08;         REPARACION Y MANTENIMIENTO;146.634416;167.1328;157.434608;250.504028;1064.263484;263.885848;97.822052;254.801688;194.138168;117.971168;191.119076;77.72
5-03-01-09;         ALQUILER OFICINAS;5021;5021;5021;5021;5021;5021;5021;5021;5021;5021;5021;5021
5-03-01-10;         ALQUILER OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-11;         SEGUROS;0;511.547376;0;0;0;0;0;0;0;0;0;0
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;1807.003348;2524.07983;3977.132598;4064.136419;3046.605095;3822.143604;3045.200532;4596.031931;3631.168844;6223.536137;3194.126131;2272.722063
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;3508.71;0;0;3508.71;0;0;3508.71;0;0;3508.71
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;355.286848;352;346;353.1289;346;355.00828;352;355.693252;346;348.102616;353.438632;352
5-03-01-16;         PASAJES Y VIATICOS;465.887724;2818.042484;7643.149752;8872.67108;4071.778532;13709.35298;622.941688;14665.59662;3695.9;18270.26;1909.955564;4688.04328
5-03-01-17;         GASTOS BANCARIOS;2.333484;0;0;0;3.859248;0;4.053864;2.508384;2.508384;0;0;0
5-03-01-18;         GASTOS DE IMPRENTA;200;0;0;228.824792;24.34608;305.477868;279.876512;200;10.78974;200;0;250.88
5-03-01-19;         GASTOS MOVILIDAD;516.116032;804.475032;1169.371356;539.978976;495.826548;540.625616;528.795948;745.678344;767.33478;580.093404;534.377088;452.964
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;772.330416;771.710952;796.381392;782.405928;804.94704;776.8899;792.612456;812.793372;778.2732;785.799624;805.234512;797.4804
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;575;575;575;669.842864;669.842864;669.842864;669.842864;675.421856;669.842864;669.842864;669.842864;682.36952
5-03-01-23;         INTERESES Y MULTAS;148.2516;146.545848;745.311184;140.033208;134.423688;361.410816;114.800544;235.910208;113.066808;107.724408;81.12816;0
5-03-01-24;         PATENTES MUNICIPALES;200;0;0;200;0;300;200;575.876;0;200;0;250.88
5-03-01-25;         CAPACITACION PERSONAL;0;0;77.4648;0;45.814896;200;79.567416;0;500;25.66578;0;0
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;0;0;0;0;0;13.17156;17.673804;8.59872;21.074496;21.074496;15.396288;0
5-03-01-27;         SERVICIOS PUBLICITARIOS;86.968548;0;61.330116;271.1268;513.72;0;112.943424;179.07534;20.915496;34.527168;44.2656;31.8
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;0;1.057668;8.397108;6.3123;1.619892;0;0;0;0;0;0;0
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-31;         GASTOS VARIOS;447.880776;988.10714;306.572388;2022.175752;914.301524;1007.007152;591.346512;636.986768;1673.379288;739.9787;561.684108;525.44
5-03-01-50;         GASTOS SA;7167.00622;7087.00622;12896.41622;9063.90622;6767.00622;13808.28187;9433.15187;7846.75187;10795.46187;10793.25187;7276.75187;11968.68187
5030151;         GASTOS DN;17383.68913;17527.14022;17190.8203;19106.55279;26426.60254;18849.87279;18050.62495;18853.63728;19783.84864;20132.76331;18172.57858;17915.5749
5-03-01-90;         EQUIPOS DE COMPUTACI‡N ;0;0;0;0;0;0;0;0;0;0;0;0
5-20-00-00;   OTROS INGRESOS Y/O EGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-00;      VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-01;         VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-00;      AJUSTE POR INFLAC. Y TENEC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-01;         AJUSTE POR INFLAC. Y TENENC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-00;      AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-01;         AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-00;      PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-01;         PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-00;      AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-01;         AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
