PLAN DE CUENTAS;;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-31;         GASTOS VARIOS;5,437.64;5,672.29;4,613.34;9,871.03;8,200.00;6,782.54;18,399.52;6,499.09;7,586.38;7,099.88;12,226.49;12,848.40
5-03-01-50;         GASTOS SA;41,991.47;40,453.65;123,519.87;102,317.95;56,439.95;155,052.08;45,957.14;34,261.08;123,990.95;48,280.08;45,853.30;150,617.08
5030151;         GASTOS DN;104,711.33;105,026.98;103,586.26;112,311.37;146,701.58;114,308.42;109,646.14;114,476.35;116,402.59;118,437.92;110,503.51;108,244.50
5-03-01-90;         EQUIPOS DE COMPUTACI‡N ;580;0;0;5,000.00;0;0;22,528.00;2,600.00;10,064.00;2,600.00;0;2,600.00
5-20-00-00;   OTROS INGRESOS Y/O EGRESOS NO OPERATIVOS;0;0;10,000.00;60,000.00;10,000.00;30,000.00;0;-10,000.00;0;0;0;30,000.00
5-20-01-00;      VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-01;         VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-00;      AJUSTE POR INFLAC. Y TENEC. DE BIENES;0;0;10,000.00;60,000.00;10,000.00;30,000.00;0;-10,000.00;0;0;0;30,000.00
5-20-05-01;         AJUSTE POR INFLAC. Y TENENC. DE BIENES;0;0;10,000.00;60,000.00;10,000.00;30,000.00;0;-10,000.00;0;0;0;30,000.00
5-20-07-00;      AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-01;         AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-00;      PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-01;         PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-00;      AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-01;         AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
