PLAN DE CUENTAS;;ENE;EJE ENE ;FEB;EJE FEB ;MAR;EJE MAR ;ABR;EJE ABR;MAY;EJE MAY ;JUN;EJE JUN;Ptto a Jun ;Eje Jun ;JUL;EJE JUL;AGO;EJE AGO;SEP;EJE SEP;OCT;EJE OCT ;NOV;EJE NOV ;DIC;EJE DIC 
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;2.21;0;1.73;0;2.22;0;3.48;0;2.19;0;2.04;0;13.87;0;1.27;0;2.11;0;1.46;0;3.9;0;3.03;0;1.35
4-10-01-00;      INGRESOS MONETARIOS;0;2.21;0;1.73;0;2.22;0;3.48;0;2.19;0;2.04;0;13.87;0;1.27;0;2.11;0;1.46;0;3.9;0;3.03;0;1.35
4-10-01-01;         INTERESES GANADOS;0;2.21;0;1.73;0;2.22;0;3.48;0;2.19;0;2.04;0;13.87;0;1.27;0;2.11;0;1.46;0;3.9;0;3.03;0;1.35
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;494929.1861;379271.7407;586209.7711;403033.71;726739.581;564242.2024;617207.2516;538140.1252;654412.5169;580796.1862;768317.712;609928.6669;4951557.706;4204277.351;648069.4491;520908.2794;625525.5469;508064.8603;723630.2303;671123.0314;661166.9519;589275.0748;635834.7891;554355.4724;591833.273;572729.2548
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;365892.3948;281182.76;378850.1848;300652.55;381514.0648;337934.33;453222.6048;357157.55;411153.6048;402198.13;441450.0448;347037.18;2432082.899;2026162.5;463298.9628;370534.76;433188.0528;350095.37;389136.0328;385039.31;383600.3128;383250.28;431303.0328;376804.09;353412.2128;329661.09
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;297252.4748;245563.58;300963.3048;260183.44;301046.0648;265726.04;301004.6848;260604.59;301087.4448;319261.46;301004.6848;281109.54;1802358.659;1632448.65;300863.9928;272732.1;300905.3728;271392.31;300781.2328;270327.79;300905.3728;274934.66;300863.9928;276673.14;300822.6128;272861.17
5-02-01-01;         SUELDOS AL PERSONAL;189297.1229;169913.95;189886.3729;174950.03;189886.3729;176316.7;189886.3729;174223.36;189886.3729;213592.13;189886.3729;181360.14;1138728.987;1090356.31;189886.3729;178341.84;189886.3729;177869.7;189886.3729;177915.67;189886.3729;180630.47;189886.3729;181630.47;189886.3729;181184.33
5-02-01-02;         APORTES PATRONALES;31631.54691;25189.43;31730.01291;29234.16;31730.01291;29462.52;31730.01291;29112.71;31730.01291;35671.73;31730.01291;36874.39;190281.6115;185544.94;31730.01291;31753.68;31730.01291;30148.39;31730.01291;30241.34;31730.01291;30694.99;31730.01291;30951.81;31730.01291;30787.52
5-02-01-03;         AGUINALDOS;31536.90373;28307.66;31635.06973;29146.67;31635.06973;29374.36;31635.06973;29025.62;31635.06973;35564.67;31635.06973;30214.6;189712.2524;181633.58;31635.06973;29711.75;31635.06973;29633.09;31635.06973;29640.75;31635.06973;30093.03;31635.06973;30890.7;31635.06973;30695.41
5-02-01-04;         INDEMNIZACION-VACACION;15768.44686;14153.93;15817.53486;14573.34;15817.53486;14687.18;15817.53486;14512.8;15817.53486;18964.43;15817.53486;15107.31;94856.12118;91998.99;15817.53486;16497.25;15817.53486;17321.83;15817.53486;14820.39;15817.53486;15046.53;15817.53486;15129.82;15817.53486;15347.7
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;18920;0;21920;1740;21920;5220;21920;3480;21920;5480;21920;6960;128520;22880;21920;6960;21920;6960;21920;7220;21920;8700;21920;6960;21920;7220
5-02-01-08;         REFRIGERIOS DEL PERSONAL;10098.4544;7998.61;9974.3144;10539.24;10057.0744;10665.28;10015.6944;10250.1;10098.4544;9988.5;10015.6944;10593.1;60259.6864;60034.83;9875.0024;9467.58;9916.3824;9459.3;9792.2424;10489.64;9916.3824;9769.64;9875.0024;11110.34;9833.6224;7626.21
5-02-02-00;      GASTOS PERSONAL EXTERNO;68639.92;35619.18;77886.88;40469.11;80468;72208.29;152217.92;96552.96;110066.16;82936.67;140445.36;65927.64;629724.24;393713.85;162434.97;97802.66;132282.68;78703.06;88354.8;114711.52;82694.94;108315.62;130439.04;100130.95;52589.6;56799.92
5-02-02-01;         HONORARIOS PROFESIONALES;4320;6076;3320;5730;4520;3654;3320;6838.88;4520;10700.64;3320;7694.22;23320;40693.74;3320;6297;3320;11214.1;4520;9097.34;4520;6282.34;3320;6053.4;3320;7930.42
5-02-02-02;         HONORARIOS DOCENTES;30304;26394.48;45360;19747.26;59472;47167.96;75712;40885.92;78736;47621.64;89544;41775.38;379128;223592.64;84896;51688.32;80360;46362.35;57680;54247.93;56056;68387.57;58845;46452.04;42760;35820.54
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;34015.92;3148.7;29206.88;14991.85;16476;21386.33;73185.92;48828.16;26810.16;24614.39;47581.36;16458.04;227276.24;129427.47;74218.97;39817.34;48602.68;21126.61;26154.8;51366.25;22118.94;33645.71;68274.04;47625.51;6509.6;13048.96
5-03-00-00;   GASTOS DE OPERACION;129036.7913;98088.96069;207359.5863;102381.09;335225.5161;218772.0024;163984.6468;180982.5652;243258.9121;178597.9762;316867.6672;254042.3169;2499474.807;2161729.631;184770.4863;150373.5194;192337.4941;157969.5103;324494.1975;277678.3314;277566.6391;205667.2748;204531.7563;177549.9824;228421.0601;238826.6648
5-03-01-00;      GASTOS DE OPERACION;129036.7913;98088.96069;207359.5863;102381.09;335225.5161;218772.0024;163984.6468;180982.5652;243258.9121;178597.9762;316867.6672;254042.3169;2499474.807;2161729.631;184770.4863;150373.5194;192337.4941;157969.5103;324494.1975;277678.3314;277566.6391;205667.2748;204531.7563;177549.9824;228421.0601;238826.6648
5-03-01-01;         MATERIAL DE ESCRITORIO;8059.661;4159.88;4340.5645;5638.01;6315.598;3488.8;4382.8865;3726.86;4107.0645;5588.04;4259.8095;4505.19;31465.584;27106.78;4625.507;4540.51;5192.9485;4208.15;3722.371;3885.42;4642.3885;4110.4;3297.8215;3829.91;3665.422;3033.24
5-03-01-02;         SERVICIOS EXTERNOS  ;0;6718.72;0;1305;0;13366.06;0;16722.37;0;6973.57;0;17013.38;0;62099.1;0;3730.21;800;10138.46;0;21305.25;0;28438.14;18500;27869.08;0;25266.94
5-03-01-04;         SERVICIO DE COURIER;3049.9;1103.5;2823.9;3893.18;3047.9;5902.29;2977.9;2791.62;2855.9;6021.43;2877.9;4335.07;17633.4;24047.09;3047.9;4652.186;2869.9;4097.64;2847.9;4836.12;3419.8;9809.66;2935.9;4272.4;2987.9;4014.96
5-03-01-05;         SERVICIOS Y COMUNICACIONES;14429.205;7150.47;15389.205;11806.32;15389.205;11738.85;15389.205;13647.55;15389.205;14940.63;15389.205;14973.6;91375.23;74257.42;15389.205;11876.9;15389.205;12623.83;15389.205;10104.57;14389.206;13147.87;15389.205;12838.69;15389.205;13249.06
5-03-01-06;         SERVICIO DE SEGURIDAD;10265.08;8879.22;10265.08;8879.22;10265.08;8879.22;10265.08;8879.22;10265.08;8879.22;10265.08;8879.22;61590.48;53275.32;10265.08;8879.22;10265.08;8879.22;10265.08;9256.8;10265.08;9256.8;10265.08;9256.8;10265.08;9256.8
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;5620;4864.67;10270;7299.46;12030;10118.96;9810;9873.63;9930;18740.49;10310;7504.94;57970;58402.15;9770;10992;10290;6759.27;9770;7943.78;10170;9482.93;9770;8083.26;10170;11770.77
5-03-01-08;         REPARACION Y MANTENIMIENTO;2241;513.42;2321;703.03;5241;334.14;2321;3617.14;2241;8060.76;5321;17703.79;19686;30932.28;2241;7668.81;2321;10092.28;4241;1700.22;2321;1089.7;2241;2428.19;2321;3006.96
5-03-01-09;         ALQUILER OFICINAS;0;0;0;0;0;313.2;0;0;0;0;0;0;0;313.2;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-10;         ALQUILER OTROS;250;0;0;0;250;0;0;313.2;250;34.8;700;0;1450;348;2569;2084.52;2000;555.4;2250;182;700;257.52;250;435;0;0
5-03-01-11;         SEGUROS;2500;2378.6;90;0;2500;142.97;90;1977.93;2500;1977.93;45;1977.93;7725;8455.36;2500;3250.26;90;1977.93;2500;1977.93;90;1977.93;90;5643.13;0;1977.93
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;9892.193298;12774.16069;17162.22482;15250.96;21661.25914;20059.79241;26970.67127;22634.99517;27708.8586;17711.00621;26647.74667;18003.6369;130042.9538;106434.5514;27771.22632;17535.72345;22915.3146;18574.40828;18649.4975;22843.19138;22214.7546;25833.00483;18389.47983;12394.45241;20019.87314;25567.97483
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;0;0;88926.64;87260.9;0;0;0;0;88926.64;88358.82;177853.28;175619.72;0;0;0;0;88926.64;88478.37;0;0;0;0;88926.64;88478.37
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;1712.2;1138.53;2691;4798.75;4285.4;2884.14;4171;4789.61;4197.4;3428.23;4229;3270.16;21286;20309.42;4227.4;3222.74;4191;2732.58;2727.4;2909.8;4572.41;2979.92;4197.4;3190.2;2701;3163.67
5-03-01-16;         PASAJES Y VIATICOS;6489.432;18056.66;31629.392;12756.63;43217.014;13295.13;18743.084;37868.11;47399.184;27076.97;69610.066;19609.32;217088.172;128662.82;29636.948;28632;48924.026;26417.86;40857.984;25783.74;39110.58;50422.93;57887.75;45221.97;14580.72;9647.05
5-03-01-17;         GASTOS BANCARIOS;0;1203.03;0;192.54;0;1419.11;0;1037.04;0;380.06;0;391.25;0;4623.03;0;754.68;0;1423.95;0;554.94;0;422.97;0;813.43;0;461.21
5-03-01-18;         GASTOS DE IMPRENTA;3841.16;0;13085.16;652.5;5691.16;2227.2;6841.16;181.3;5741.16;1327.62;5691.16;2238.51;40890.96;6627.13;6841.16;5239.94;5741.16;458.49;5691.16;34342.38;5741.16;11240.4;5741.16;522;5691.16;0
5-03-01-19;         GASTOS MOVILIDAD;6789;3928.98;7689;5513.49;11785;8314.79;6789;9849.69;8539;11391.69;7914;11491.39;49505;50490.03;8863;9624.78;9959;10915.79;7588;8837.46;7513;10362.44;7859;8871.74;6013;8718.33
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;10002.68;8571.27;10002.68;9211.25;10002.68;8909.06;10002.68;9503.68;10002.68;9461.41;10002.68;8931.73;60016.08;54588.4;10002.68;9874.43;10002.68;9758.18;10002.68;9568.04;10002.68;9414.01;10002.68;9739.87;10002.68;9878.51
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;400;0;0;0;400;0;0;0;800;0;400;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;4420.28;0;4420.28;0;4420.28;0;4420.28;2438.62;4420.28;2438.62;4305.28;2438.62;26406.68;7315.86;4420.28;2438.62;4420.28;2438.62;4420.28;2438.62;4420.28;2438.62;4420.28;2438.62;4420.28;2438.62
5-03-01-23;         INTERESES Y MULTAS;504;932.4;504;921.67;504;0;504;880.71;504;845.44;504;885.82;3024;4466.04;504;722.02;504;1483.71;504;711.11;504;592.82;504;680.32;504;644.63
5-03-01-24;         PATENTES MUNICIPALES;1720;0;2896;0;570;0;1720;0;620;0;570;0;8096;0;1720;0;620;3585;570;1221;620;1221;620;1221;570;1221
5-03-01-25;         CAPACITACION PERSONAL;8700;0;7500;0;18780;487.2;9820;0;14700;288.15;11500;0;71000;775.35;9000;500.42;7820;0;12780;0;18500;161.42;8700;0;7500;435
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;5725;0;10325.1;0;32825.1;0;10325.1;0;41825.1;0;10325.1;0;111350.5;0;10325.1;0;11825.1;0;30225;0;29725;0;9725;0;10325.1;0
5-03-01-27;         SERVICIOS PUBLICITARIOS;5250;2960.83;6966;4571.55;9278;7865.59;7208;7251.14;8958;10614.14;10994;5083.73;48654;38346.98;7208;8053.13;7208;9621.09;9278;11544.16;8924;8283.68;8958;5671.15;7208;6021.89
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;0;149.15;0;26.73;4942;211.24;0;158.83;4942;40.65;0;191.89;9884;778.49;0;70.16;0;0;0;0;4942;122.91;0;316.4;0;46.28
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;2000;0;0;0;0;0;5800;0;2000;0;9800;0;0;0;2000;0;35000;0;7800;0;3000;0;0;0
5-03-01-31;         GASTOS VARIOS;5328;12605.47;8200;8960.8;8018;11553.36;1780;22839.32;2088;22377.12;5280;16254.32;30694;94590.39;5588;6030.26;5910;11227.652;5288;7253.43;59519.3;4600.2;1788;11812.37;5160;10527.47
5-03-01-50;         EQUIPOS DE COMPUTACI‡N ;12248;0;36789;0;14880.2;0;9453.6;0;7875;0;9200;0;90445.8;0;7855;0;1078.8;0;1000;0;7460;0;0;0;0;0
5-03-01-99;         GASTOS SA - DN ;8854.345552;163881.9185;220466.5715;169978.84;218375.8891;255704.99;184852.22;178164.88;287770.3894;237387.68;318805.2219;281503.3703;1239124.638;1286621.679;187515.116;178804.04;187008.049;185582.71;142165.7292;281592.59;235426.9673;192028.4292;121760.8662;178291.46;161619.8902;275500.48
5-20-00-00;   OTROS INGRESOS Y/O EGRESOS NO OPERATIVOS;0;0.02;0;0.07;10000;7535.87;0;0.01;0;0.08;10000;8849.17;20000;16385.22;0;0;0;-0.02;10000;8405.39;0;357.52;0;1.4;10000;4241.5
5-20-01-00;      VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-01;         VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-00;      AJUSTE POR INFLAC. Y TENEC. DE BIENES;0;0;0;0;10000;7535.87;0;0;0;0;10000;8849.17;20000;16385.04;0;0;0;-0.02;10000;8405.39;0;357.52;0;0;10000;4241.5
5-20-05-01;         AJUSTE POR INFLAC. Y TENENC. DE BIENES;0;0;0;0;10000;7535.87;0;0;0;0;10000;8849.17;20000;16385.04;0;0;0;-0.02;10000;8405.39;0;357.52;0;0;10000;4241.5
5-20-07-00;      AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0.08;0;0;0;0.08;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-01;         AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0.08;0;0;0;0.08;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-00;      PERDIDAS Y GANANCIAS;0;0.02;0;0.07;0;0;0;0.01;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;1.4;0;0
5-20-09-01;         PERDIDAS Y GANANCIAS;0;0.02;0;0.07;0;0;0;0.01;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;1.4;0;0
5-20-17-00;      AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-01;         AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
