Codigo;Actividad;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sept;Oct;Nov;Dic
2108;DEVELOP A WORKSHOP WITH INTERNATIONAL EXPERTS FROM THE FOOD SECTOR;0;0;0;0;0;0;0;0;0;0;0;50000
2214;RESTRUCTURE THE CURRENT TRAINING SCHEMES IBNORCA CURRENTLY PROVIDES THROUGH INTERNATIONAL EXPERTS (QUALITY);0;0;0;35000;0;0;0;0;0;0;0;0
2215;RESTRUCTURE THE CURRENT TRAINING SCHEMES IBNORCA CURRENTLY PROVIDES THROUGH INTERNATIONAL EXPERTS (ENVIRONMENT);0;0;0;0;0;0;0;35000;0;0;0;0
2216;RESTRUCTURE THE CURRENT TRAINING SCHEMES IBNORCA CURRENTLY PROVIDES THROUGH INTERNATIONAL EXPERTS (FOOD SAFETY MANAGEMENT);0;0;0;0;0;0;0;0;0;0;0;35000
2217;INTERNATIONAL PARTICIPATION ISO/TC 301 ENERGY MANAGEMENT PLENARY VIENNA AUSTRIA;0;0;0;0;0;31500;0;0;0;0;0;0
2218;DEVELOPMENT OF THE EDITORIAL DEPARTMENT OF IBNORCA;0;0;0;0;0;0;0;0;0;0;0;72000
2219;INTERNATIONAL PARTICIPATION ISO/TC 176 QUALITY MANAGEMENT AND QUALITY ASSURANCE;0;0;0;0;0;0;0;0;0;0;0;31500
2220;INTERNATIONAL PARTICIPATION ISO CASCO PLENARY NAIROBI KENIA;0;0;0;0;50000;0;0;0;0;0;0;0
2221;INTERNATIONAL PARTICIPATION ISO/ TC 176 SPANISH TRANSLATION TASK FORCE;0;0;0;0;0;0;0;0;0;0;0;21000
2222;INTERNATIONAL PARTICIPATION ISO/ CASCO SPANISH TRANSLATION TASK FORCE;0;0;0;0;0;0;0;0;0;0;0;21000
2223;CAPACITY BUILDING FOR TECHNICAL SECRETARIES (ISO WEEK?);0;0;0;0;0;0;0;0;0;0;0;20000
2224;MARKET SYTEM ANALYSIS FOR SOLID WASTE AND SETTING UP TECHNICAL COMMITTEE FOR SOLID WASTE;0;0;0;0;0;0;0;0;0;0;0;12500
2301;CAPACITY BUILDING WITH REGULATORY SECTOR;24600;0;0;0;0;0;0;0;0;0;0;0
2301;01 DESARROLLO DE CAPACIDADES EN EL SECTOR REGULATORIO;24600;0;0;0;0;0;0;0;0;0;0;0
2302;CAPACITY BUILDING WITH PRIVATE SECTOR;18696;0;0;0;0;0;0;0;0;0;0;0
2302;02 DESARROLLO DE CAPACIDADES EN EL SECTOR PRIVADO;18696;0;0;0;0;0;0;0;0;0;0;0
2304;WORKSHOPS TO DEVELOP THE WORKING PLAN OF THE MIRROR COMMITTE AND PRIORIZE PARTICIPATION ON INTERNATIONAL COMMITTES;17000;0;0;0;0;0;0;0;0;0;0;0
2305;SUPPORT OF THE ACTIVITIES OF ISO/TC 282, TRANSLATION OF DOCUMENTS;0;0;0;0;0;0;0;0;0;0;0;30000
2306;INTERNATIONAL PARTICIPATION ISO/TC 224 DENMARK;0;0;0;0;0;37500;0;0;0;0;0;0
2307;INTERNATIONAL PARTICIPATION ISO/TC 282 TEL AVIV - ISRAEL;0;0;0;0;0;0;0;0;0;0;40500;0
3109;CAPACITY BUILDING TRAINING MODULE, IDENTIFY PROBLEMS IN BOLIVIA - VARIOUS WAYS TO REDUCE PROBLEMS - USAGE OF STANDARDS - PILOT STUDY IN BOLIVIA (3 STUDIES LP,CBBA,SC);0;0;0;0;0;0;0;0;0;0;0;22500
3110;WORKSHOP TO DISCUSS WITH STAKEHOLDERS ON THE IMPORTANCE OF USING WATER IN AN EFFICIENT WAY , REDUCING WATER CONSUMPTION AND POSSIBLE TECHNOLOGIES FOR WATER TREATMENT (RELATED TO ISO);0;0;0;0;0;0;0;0;30000;0;0;0
3114;CAPACITY BUILDING IN TRAINING ON HOW TO CONDUCT RELIABLE SAMPLING AND ANALYSIS OF DIFFERENT WATER SOURCES (DRINKING WATER, REFLUENT WATER AND NATURAL WATER BODIES);0;0;0;0;0;37500;0;0;0;0;0;0
3201;MARKET APPROACH: CAPACITY BUILDING ON STANDARDS AND WATER DIRECTIVES FROM THE EU RELEVANT FOR CLASSIFICATION OF WATER BODIES AND HOW IT HAS BEEN IMPLEMENTED IN SWEDEN;0;0;0;0;0;0;0;0;0;0;0;35000
3203;MARKET APPROACH: SEMINAR ON SUSTAINABLE SOLID WASTE MANAGEMENT AND ITS IMPACT IN WATER BODIES - (EXAMPLES FROM SWEDEN AND COLOMBIA);0;0;30000;0;0;0;0;0;0;0;0;0
3206;MATERIAL FOR PARTICIPANTS IN THE SEMINAR OF SOLID WASTE MANAGEMENT;0;0;22500;0;0;0;0;0;0;0;0;0
3305;MATERIAL FOR WORKSHOP ON TENDERING PROCEDURES;0;0;30000;0;0;0;0;0;0;0;0;0
3306;DEVELOP A CASE STUDY FOR THE STOCKHOLM WATER WEEK;0;0;0;0;22500;0;0;0;0;0;0;0
3307;PARTICIPATE IN STOCKHOLM WATER WEEK;0;0;0;0;50000;0;0;0;0;0;0;0
3506;DEVELOPMENT OF SAMPLING CERTIFICATION MATERIAL (SWEDEN, ARGENTINA);0;0;0;0;0;0;0;0;0;0;0;27500
3507;DEVELOPMENT OF TRAINING MATERIAL FOR SAMPLING (SWEDEN, ARGENTINA);0;0;0;0;0;0;0;0;0;0;0;30000
3508;IMPLEMENTATION OF CERTIFICATION ON SAMPLING;0;0;0;0;0;0;0;0;0;0;0;30000
3509;IMPROVEMENT OF THE CURRENT PROCESS OF MANAGEMENT SYSTEMS CERTIFICATION;0;0;0;0;0;40000;0;0;0;0;0;0
3510;CAPACITY BUILDING FOR CONFORMITY ASSESSMENT EVALUATORS;0;0;0;0;0;0;0;0;0;0;0;17500
3511;DEVELOPMENT OF A CONFORMITY ASSESMENT SCHEME FOR SERVICES;0;0;0;0;0;0;0;0;0;0;0;17500
9101;SALARIES;58500;0;0;0;0;0;0;0;0;0;0;0
9104;OTHER;360.83;0;0;0;0;0;0;0;0;0;0;0
9201;SALARIES;32500;0;0;0;0;0;0;0;0;0;0;0
9301;SALARIES;45500;0;0;0;0;0;0;0;0;0;0;0
