PLAN DE CUENTAS;;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;1040;1040;1040;1040;1040;1040;1040;1040;1040;1040;1040;1040
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;690;690;690;690;690;690;690;690;690;690;690;690
5-03-01-23;         INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-24;         PATENTES MUNICIPALES;0;0;0;0;0;0;1500;0;1200;0;0;0
5-03-01-25;         CAPACITACION PERSONAL;0;0;1020;0;4000;1000;2000;0;2360;1000;0;0
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;200;0;200;0;4200;0;1200;5000;1200;0;0;200
5-03-01-27;         SERVICIOS PUBLICITARIOS;0;250;250;500;500;500;500;500;500;500;500;500
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-31;         GASTOS VARIOS;1543.36;600;1400;2940;4480;600;1400;600;4280;1240;2200;2400
5-03-01-50;         EQUIPOS DE COMPUTACI‡N ;0;0;19460;0;2600;8864;9055;6960;2475;6455;0;0
5-03-01-90;         GASTOS SA-DN ;23121.43306;18491.14792;35702.8638;17463.0238;22302.8638;17273.56811;16396.24542;19528.50372;43142.29742;18097.97742;16078.99832;30177.32092
5-20-00-00;   OTROS INGRESOS Y/O EGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-00;      VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-01;         VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-00;      AJUSTE POR INFLAC. Y TENEC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-01;         AJUSTE POR INFLAC. Y TENENC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-00;      AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-01;         AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-00;      PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-01;         PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-00;      AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-01;         AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
