cuent;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
5-02-01-08;         REFRIGERIOS DEL PERSONAL;113.795;113.795;113.795;113.795;113.795;113.795;113.795;113.795;113.795;113.795;113.795;113.795
5-02-02-00;      GASTOS PERSONAL EXTERNO;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-01;         HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-02;         HONORARIOS DOCENTES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-00-00;   GASTOS DE OPERACION;9705.587675;28130.89894;22360.436;11641.98198;22301.14728;13667.58443;8100.431218;12150.12938;23685.11918;15979.81264;10444.12472;6538.221809
5-03-01-00;      GASTOS DE OPERACION;9705.587675;28130.89894;22360.436;11641.98198;22301.14728;13667.58443;8100.431218;12150.12938;23685.11918;15979.81264;10444.12472;6538.221809
5-03-01-01;         MATERIAL DE ESCRITORIO;139;347.3;114.8;16;112;329;19;114.5;2.8;143;0;0
5-03-01-02;         SERVICIOS EXTERNOS  ;0;0;0;0;0;0;0;0;5158.49;0;0;0
5-03-01-04;         SERVICIO DE COURIER;20;20;20;20;20;20;20;20;20;20;20;20
5-03-01-05;         SERVICIOS Y COMUNICACIONES;341.4;341.4;341.4;341.4;341.4;341.4;341.4;341.4;341.4;341.4;341.4;341.4
5-03-01-06;         SERVICIO DE SEGURIDAD;650;650;650;650;650;650;650;650;650;650;650;650
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;108;108;108;108;108;0;108;108;108;108;108;108
5-03-01-08;         REPARACION Y MANTENIMIENTO;54;54;54;54;54;54;54;54;54;54;54;54
5-03-01-09;         ALQUILER OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-10;         ALQUILER OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-11;         SEGUROS;0;0;0;50;0;0;0;0;0;50;0;0
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;68.96551724;1187.028;584.64;645.192;2566.152;1077.408;538.704;1094.112;2403.288;1076.7816;1115.8272;1053.1872
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;14;14;14;14;14;14;14;14;14;14;14;14
5-03-01-16;         PASAJES Y VIATICOS;0;0;0;0;0;0;0;0;2269.54;0;0;0
5-03-01-17;         GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-18;         GASTOS DE IMPRENTA;87;87;87;87;87;87;87;87;87;87;87;87
5-03-01-19;         GASTOS MOVILIDAD;700;700;700;700;700;700;420;700;700;700;700;700
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;36.82;36.82;36.82;36.82;36.82;36.82;36.82;36.82;36.82;36.82;36.82;36.82
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;115;115;115;115;115;115;115;115;115;115;115;115
5-03-01-23;         INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-24;         PATENTES MUNICIPALES;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-25;         CAPACITACION PERSONAL;0;0;1000;0;0;0;0;0;0;0;0;0
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-27;         SERVICIOS PUBLICITARIOS;75;75;75;75;75;75;75;75;75;75;75;75
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-31;         GASTOS VARIOS;0;0;0;0;0;0;0;0;0;900;0;0
5-03-01-50;         EQUIPOS DE COMPUTACI‡N ;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-90;         GASTOS DE SA - DN ;7296.402157;24395.35094;18459.776;8729.569977;17421.77528;10167.95643;5621.507218;8740.297377;11649.78118;11608.81104;7127.077522;3283.814609
5-20-00-00;   OTROS INGRESOS Y/O EGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-00;      VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-01-01;         VENTA DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-00;      AJUSTE POR INFLAC. Y TENEC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-05-01;         AJUSTE POR INFLAC. Y TENENC. DE BIENES;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-00;      AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-07-01;         AJUSTE POR DIFERENCIA DE CAMBIO;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-00;      PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-09-01;         PERDIDAS Y GANANCIAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-00;      AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
5-20-17-01;         AJUSTE GESTIONES PASADAS;0;0;0;0;0;0;0;0;0;0;0;0
